site,date,start_hour,value,variable,units,quality,prelim,name 
2373,2020-01-03,8,0.0273,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,9,0.0222,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,10,0.0219,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,11,0.0222,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,12,0.0205,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,13,0.0157,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,14,0.0141,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,15,0.0199,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,16,0.0280,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,17,0.0359,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,18,0.0349,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,19,0.0364,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,20,0.0366,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,21,0.0126,NO2,Parts Per Million ( ppm ),1,y,San Francisco-Arkansas Street 
2373,2020-01-03,22,0.0117,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-03,23,0.0118,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,0,0.0246,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,1,0.0113,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,2,0.0034,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,4,0.0130,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,5,0.0137,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,6,0.0068,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,7,0.0110,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,8,0.0188,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,9,0.0138,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,10,0.0093,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,11,0.0097,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,12,0.0045,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,13,0.0047,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,14,0.0056,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,15,0.0043,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,16,0.0058,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,17,0.0076,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,18,0.0134,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,19,0.0220,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,20,0.0152,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,21,0.0216,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,22,0.0182,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-04,23,0.0230,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,0,0.0099,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,1,0.0053,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,2,0.0121,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,4,0.0076,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,5,0.0161,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,6,0.0219,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,7,0.0228,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,8,0.0233,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,9,0.0106,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,10,0.0060,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,11,0.0040,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,12,0.0032,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,13,0.0026,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,14,0.0030,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,15,0.0029,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,16,0.0041,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,17,0.0139,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,18,0.0156,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,19,0.0095,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,20,0.0076,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,21,0.0107,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,22,0.0193,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-05,23,0.0131,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,0,0.0162,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,1,0.0240,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,2,0.0183,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,4,0.0184,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,5,0.0211,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,6,0.0232,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,7,0.0315,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,8,0.0325,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,9,0.0238,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,10,0.0136,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,11,0.0120,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,12,0.0160,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,13,0.0151,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,14,0.0138,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,15,0.0147,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,16,0.0194,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,17,0.0214,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,18,0.0307,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,19,0.0353,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,20,0.0343,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,21,0.0344,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,22,0.0348,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
2373,2020-01-06,23,0.0289,NO2,Parts Per Million ( ppm ),0,y,San Francisco-Arkansas Street 
