,geometry,lat,long,date,NO2,date_int
0,"POLYGON ((-122.89 38.35999999999994, -122.81 38.35999999999994, -122.81 38.43999999999994, -122.89 38.43999999999994, -122.89 38.35999999999994))",38.39999999999994,-122.85000000000001,2020-03-01,,29
1,"POLYGON ((-122.84 38.35999999999994, -122.76 38.35999999999994, -122.76 38.43999999999994, -122.84 38.43999999999994, -122.84 38.35999999999994))",38.39999999999994,-122.80000000000001,2020-03-01,,29
2,"POLYGON ((-122.79 38.35999999999994, -122.71 38.35999999999994, -122.71 38.43999999999994, -122.79 38.43999999999994, -122.79 38.35999999999994))",38.39999999999994,-122.75000000000001,2020-03-01,,29
3,"POLYGON ((-122.74 38.35999999999994, -122.66 38.35999999999994, -122.66 38.43999999999994, -122.74 38.43999999999994, -122.74 38.35999999999994))",38.39999999999994,-122.70000000000002,2020-03-01,,29
4,"POLYGON ((-122.69 38.35999999999994, -122.61 38.35999999999994, -122.61 38.43999999999994, -122.69 38.43999999999994, -122.69 38.35999999999994))",38.39999999999994,-122.65000000000002,2020-03-01,,29
5,"POLYGON ((-122.64 38.35999999999994, -122.56 38.35999999999994, -122.56 38.43999999999994, -122.64 38.43999999999994, -122.64 38.35999999999994))",38.39999999999994,-122.60000000000002,2020-03-01,,29
6,"POLYGON ((-122.59 38.35999999999994, -122.51 38.35999999999994, -122.51 38.43999999999994, -122.59 38.43999999999994, -122.59 38.35999999999994))",38.39999999999994,-122.55000000000003,2020-03-01,,29
7,"POLYGON ((-122.54 38.35999999999994, -122.46 38.35999999999994, -122.46 38.43999999999994, -122.54 38.43999999999994, -122.54 38.35999999999994))",38.39999999999994,-122.50000000000003,2020-03-01,,29
8,"POLYGON ((-122.49 38.35999999999994, -122.41 38.35999999999994, -122.41 38.43999999999994, -122.49 38.43999999999994, -122.49 38.35999999999994))",38.39999999999994,-122.45000000000003,2020-03-01,,29
9,"POLYGON ((-122.44 38.35999999999994, -122.36 38.35999999999994, -122.36 38.43999999999994, -122.44 38.43999999999994, -122.44 38.35999999999994))",38.39999999999994,-122.40000000000003,2020-03-01,,29
10,"POLYGON ((-122.39 38.35999999999994, -122.31 38.35999999999994, -122.31 38.43999999999994, -122.39 38.43999999999994, -122.39 38.35999999999994))",38.39999999999994,-122.35000000000004,2020-03-01,,29
11,"POLYGON ((-122.34 38.35999999999994, -122.26 38.35999999999994, -122.26 38.43999999999994, -122.34 38.43999999999994, -122.34 38.35999999999994))",38.39999999999994,-122.30000000000004,2020-03-01,,29
12,"POLYGON ((-122.29 38.35999999999994, -122.21 38.35999999999994, -122.21 38.43999999999994, -122.29 38.43999999999994, -122.29 38.35999999999994))",38.39999999999994,-122.25000000000004,2020-03-01,,29
13,"POLYGON ((-122.2400000000001 38.35999999999994, -122.16 38.35999999999994, -122.16 38.43999999999994, -122.2400000000001 38.43999999999994, -122.2400000000001 38.35999999999994))",38.39999999999994,-122.20000000000005,2020-03-01,,29
14,"POLYGON ((-122.1900000000001 38.35999999999994, -122.11 38.35999999999994, -122.11 38.43999999999994, -122.1900000000001 38.43999999999994, -122.1900000000001 38.35999999999994))",38.39999999999994,-122.15000000000005,2020-03-01,,29
15,"POLYGON ((-122.1400000000001 38.35999999999994, -122.06 38.35999999999994, -122.06 38.43999999999994, -122.1400000000001 38.43999999999994, -122.1400000000001 38.35999999999994))",38.39999999999994,-122.10000000000005,2020-03-01,,29
16,"POLYGON ((-122.0900000000001 38.35999999999994, -122.01 38.35999999999994, -122.01 38.43999999999994, -122.0900000000001 38.43999999999994, -122.0900000000001 38.35999999999994))",38.39999999999994,-122.05000000000005,2020-03-01,,29
17,"POLYGON ((-122.0400000000001 38.35999999999994, -121.9600000000001 38.35999999999994, -121.9600000000001 38.43999999999994, -122.0400000000001 38.43999999999994, -122.0400000000001 38.35999999999994))",38.39999999999994,-122.00000000000006,2020-03-01,,29
18,"POLYGON ((-121.9900000000001 38.35999999999994, -121.9100000000001 38.35999999999994, -121.9100000000001 38.43999999999994, -121.9900000000001 38.43999999999994, -121.9900000000001 38.35999999999994))",38.39999999999994,-121.95000000000006,2020-03-01,,29
19,"POLYGON ((-121.9400000000001 38.35999999999994, -121.8600000000001 38.35999999999994, -121.8600000000001 38.43999999999994, -121.9400000000001 38.43999999999994, -121.9400000000001 38.35999999999994))",38.39999999999994,-121.90000000000006,2020-03-01,,29
20,"POLYGON ((-121.8900000000001 38.35999999999994, -121.8100000000001 38.35999999999994, -121.8100000000001 38.43999999999994, -121.8900000000001 38.43999999999994, -121.8900000000001 38.35999999999994))",38.39999999999994,-121.85000000000007,2020-03-01,,29
21,"POLYGON ((-121.8400000000001 38.35999999999994, -121.7600000000001 38.35999999999994, -121.7600000000001 38.43999999999994, -121.8400000000001 38.43999999999994, -121.8400000000001 38.35999999999994))",38.39999999999994,-121.80000000000007,2020-03-01,,29
22,"POLYGON ((-122.89 38.30999999999995, -122.81 38.30999999999995, -122.81 38.38999999999994, -122.89 38.38999999999994, -122.89 38.30999999999995))",38.349999999999945,-122.85000000000001,2020-03-01,,29
23,"POLYGON ((-122.84 38.30999999999995, -122.76 38.30999999999995, -122.76 38.38999999999994, -122.84 38.38999999999994, -122.84 38.30999999999995))",38.349999999999945,-122.80000000000001,2020-03-01,,29
24,"POLYGON ((-122.79 38.30999999999995, -122.71 38.30999999999995, -122.71 38.38999999999994, -122.79 38.38999999999994, -122.79 38.30999999999995))",38.349999999999945,-122.75000000000001,2020-03-01,0.0026834009265120826,29
25,"POLYGON ((-122.74 38.30999999999995, -122.66 38.30999999999995, -122.66 38.38999999999994, -122.74 38.38999999999994, -122.74 38.30999999999995))",38.349999999999945,-122.70000000000002,2020-03-01,0.002619293435708292,29
26,"POLYGON ((-122.69 38.30999999999995, -122.61 38.30999999999995, -122.61 38.38999999999994, -122.69 38.38999999999994, -122.69 38.30999999999995))",38.349999999999945,-122.65000000000002,2020-03-01,0.0025551859449045007,29
27,"POLYGON ((-122.64 38.30999999999995, -122.56 38.30999999999995, -122.56 38.38999999999994, -122.64 38.38999999999994, -122.64 38.30999999999995))",38.349999999999945,-122.60000000000002,2020-03-01,0.00249107845410071,29
28,"POLYGON ((-122.59 38.30999999999995, -122.51 38.30999999999995, -122.51 38.38999999999994, -122.59 38.38999999999994, -122.59 38.30999999999995))",38.349999999999945,-122.55000000000003,2020-03-01,,29
29,"POLYGON ((-122.54 38.30999999999995, -122.46 38.30999999999995, -122.46 38.38999999999994, -122.54 38.38999999999994, -122.54 38.30999999999995))",38.349999999999945,-122.50000000000003,2020-03-01,,29
30,"POLYGON ((-122.49 38.30999999999995, -122.41 38.30999999999995, -122.41 38.38999999999994, -122.49 38.38999999999994, -122.49 38.30999999999995))",38.349999999999945,-122.45000000000003,2020-03-01,,29
31,"POLYGON ((-122.44 38.30999999999995, -122.36 38.30999999999995, -122.36 38.38999999999994, -122.44 38.38999999999994, -122.44 38.30999999999995))",38.349999999999945,-122.40000000000003,2020-03-01,,29
32,"POLYGON ((-122.39 38.30999999999995, -122.31 38.30999999999995, -122.31 38.38999999999994, -122.39 38.38999999999994, -122.39 38.30999999999995))",38.349999999999945,-122.35000000000004,2020-03-01,,29
33,"POLYGON ((-122.34 38.30999999999995, -122.26 38.30999999999995, -122.26 38.38999999999994, -122.34 38.38999999999994, -122.34 38.30999999999995))",38.349999999999945,-122.30000000000004,2020-03-01,,29
34,"POLYGON ((-122.29 38.30999999999995, -122.21 38.30999999999995, -122.21 38.38999999999994, -122.29 38.38999999999994, -122.29 38.30999999999995))",38.349999999999945,-122.25000000000004,2020-03-01,,29
35,"POLYGON ((-122.2400000000001 38.30999999999995, -122.16 38.30999999999995, -122.16 38.38999999999994, -122.2400000000001 38.38999999999994, -122.2400000000001 38.30999999999995))",38.349999999999945,-122.20000000000005,2020-03-01,,29
36,"POLYGON ((-122.1900000000001 38.30999999999995, -122.11 38.30999999999995, -122.11 38.38999999999994, -122.1900000000001 38.38999999999994, -122.1900000000001 38.30999999999995))",38.349999999999945,-122.15000000000005,2020-03-01,,29
37,"POLYGON ((-122.1400000000001 38.30999999999995, -122.06 38.30999999999995, -122.06 38.38999999999994, -122.1400000000001 38.38999999999994, -122.1400000000001 38.30999999999995))",38.349999999999945,-122.10000000000005,2020-03-01,,29
38,"POLYGON ((-122.0900000000001 38.30999999999995, -122.01 38.30999999999995, -122.01 38.38999999999994, -122.0900000000001 38.38999999999994, -122.0900000000001 38.30999999999995))",38.349999999999945,-122.05000000000005,2020-03-01,,29
39,"POLYGON ((-122.0400000000001 38.30999999999995, -121.9600000000001 38.30999999999995, -121.9600000000001 38.38999999999994, -122.0400000000001 38.38999999999994, -122.0400000000001 38.30999999999995))",38.349999999999945,-122.00000000000006,2020-03-01,,29
40,"POLYGON ((-121.9900000000001 38.30999999999995, -121.9100000000001 38.30999999999995, -121.9100000000001 38.38999999999994, -121.9900000000001 38.38999999999994, -121.9900000000001 38.30999999999995))",38.349999999999945,-121.95000000000006,2020-03-01,,29
41,"POLYGON ((-121.9400000000001 38.30999999999995, -121.8600000000001 38.30999999999995, -121.8600000000001 38.38999999999994, -121.9400000000001 38.38999999999994, -121.9400000000001 38.30999999999995))",38.349999999999945,-121.90000000000006,2020-03-01,,29
42,"POLYGON ((-121.8900000000001 38.30999999999995, -121.8100000000001 38.30999999999995, -121.8100000000001 38.38999999999994, -121.8900000000001 38.38999999999994, -121.8900000000001 38.30999999999995))",38.349999999999945,-121.85000000000007,2020-03-01,,29
43,"POLYGON ((-121.8400000000001 38.30999999999995, -121.7600000000001 38.30999999999995, -121.7600000000001 38.38999999999994, -121.8400000000001 38.38999999999994, -121.8400000000001 38.30999999999995))",38.349999999999945,-121.80000000000007,2020-03-01,,29
44,"POLYGON ((-122.89 38.25999999999995, -122.81 38.25999999999995, -122.81 38.33999999999995, -122.89 38.33999999999995, -122.89 38.25999999999995))",38.29999999999995,-122.85000000000001,2020-03-01,,29
45,"POLYGON ((-122.84 38.25999999999995, -122.76 38.25999999999995, -122.76 38.33999999999995, -122.84 38.33999999999995, -122.84 38.25999999999995))",38.29999999999995,-122.80000000000001,2020-03-01,,29
46,"POLYGON ((-122.79 38.25999999999995, -122.71 38.25999999999995, -122.71 38.33999999999995, -122.79 38.33999999999995, -122.79 38.25999999999995))",38.29999999999995,-122.75000000000001,2020-03-01,0.0030979343162439287,29
47,"POLYGON ((-122.74 38.25999999999995, -122.66 38.25999999999995, -122.66 38.33999999999995, -122.74 38.33999999999995, -122.74 38.25999999999995))",38.29999999999995,-122.70000000000002,2020-03-01,0.002838935821419475,29
48,"POLYGON ((-122.69 38.25999999999995, -122.61 38.25999999999995, -122.61 38.33999999999995, -122.69 38.33999999999995, -122.69 38.25999999999995))",38.29999999999995,-122.65000000000002,2020-03-01,0.002774828330615684,29
49,"POLYGON ((-122.64 38.25999999999995, -122.56 38.25999999999995, -122.56 38.33999999999995, -122.64 38.33999999999995, -122.64 38.25999999999995))",38.29999999999995,-122.60000000000002,2020-03-01,0.0027107208398118934,29
50,"POLYGON ((-122.59 38.25999999999995, -122.51 38.25999999999995, -122.51 38.33999999999995, -122.59 38.33999999999995, -122.59 38.25999999999995))",38.29999999999995,-122.55000000000003,2020-03-01,0.0026466133490081027,29
51,"POLYGON ((-122.54 38.25999999999995, -122.46 38.25999999999995, -122.46 38.33999999999995, -122.54 38.33999999999995, -122.54 38.25999999999995))",38.29999999999995,-122.50000000000003,2020-03-01,0.0025825058582043116,29
52,"POLYGON ((-122.49 38.25999999999995, -122.41 38.25999999999995, -122.41 38.33999999999995, -122.49 38.33999999999995, -122.49 38.25999999999995))",38.29999999999995,-122.45000000000003,2020-03-01,0.002518398367400521,29
53,"POLYGON ((-122.44 38.25999999999995, -122.36 38.25999999999995, -122.36 38.33999999999995, -122.44 38.33999999999995, -122.44 38.25999999999995))",38.29999999999995,-122.40000000000003,2020-03-01,0.00245429087659673,29
