,name,date,PM25HR,Pre-Shelter in place mean,Post-Shelter in place mean
72,San Rafael,2020-02-05,6.291666666666667,7.653170861649276,
73,Concord-2956-A Treat Blvd,2020-02-05,7.0,7.653170861649276,
74,Oakland-9925 International Blvd,2020-02-05,6.458333333333333,7.653170861649276,
75,Livermore-793 Rincon Avenue,2020-02-05,5.375,7.653170861649276,
76,San Jose-Jackson Street,2020-02-05,6.7272727272727275,7.653170861649276,
77,San Pablo-Rumrill Blvd,2020-02-05,7.333333333333333,7.653170861649276,
78,Oakland-West,2020-02-05,8.833333333333334,7.653170861649276,
79,Oakland-Laney College                   ,2020-02-05,7.125,7.653170861649276,
80,Sebastopol-103 Morris Street            ,2020-02-05,9.791666666666666,7.653170861649276,
81,San Jose-Knox Avenue                    ,2020-02-05,6.478260869565218,7.653170861649276,
82,Berkeley-Aquatic Park                   ,2020-02-05,11.083333333333334,7.653170861649276,
83,Napa-Valley College,2020-02-05,7.708333333333333,7.653170861649276,
84,Pleasanton-Owens Ct                     ,2020-02-05,7.291666666666667,7.653170861649276,
85,Redwood City,2020-02-06,9.25,7.653170861649276,
86,Gilroy-9th Street,2020-02-06,11.136363636363637,7.653170861649276,
87,San Francisco-Arkansas Street,2020-02-06,10.91304347826087,7.653170861649276,
88,Vallejo-304 Tuolumne Street,2020-02-06,18.0,7.653170861649276,
89,San Rafael,2020-02-06,8.166666666666666,7.653170861649276,
90,Concord-2956-A Treat Blvd,2020-02-06,9.625,7.653170861649276,
91,Oakland-9925 International Blvd,2020-02-06,10.833333333333334,7.653170861649276,
92,Livermore-793 Rincon Avenue,2020-02-06,8.375,7.653170861649276,
93,San Jose-Jackson Street,2020-02-06,14.0,7.653170861649276,
94,San Pablo-Rumrill Blvd,2020-02-06,10.130434782608695,7.653170861649276,
95,Oakland-West,2020-02-06,11.772727272727273,7.653170861649276,
96,Oakland-Laney College                   ,2020-02-06,10.434782608695652,7.653170861649276,
97,Sebastopol-103 Morris Street            ,2020-02-06,8.041666666666666,7.653170861649276,
98,San Jose-Knox Avenue                    ,2020-02-06,11.291666666666666,7.653170861649276,
99,Berkeley-Aquatic Park                   ,2020-02-06,13.25,7.653170861649276,
100,Napa-Valley College,2020-02-06,12.833333333333334,7.653170861649276,
101,Pleasanton-Owens Ct                     ,2020-02-06,8.041666666666666,7.653170861649276,
102,Redwood City,2020-02-07,12.958333333333334,7.653170861649276,
103,Gilroy-9th Street,2020-02-07,10.0,7.653170861649276,
104,San Francisco-Arkansas Street,2020-02-07,12.583333333333334,7.653170861649276,
105,Vallejo-304 Tuolumne Street,2020-02-07,19.666666666666668,7.653170861649276,
106,San Rafael,2020-02-07,11.826086956521738,7.653170861649276,
107,Concord-2956-A Treat Blvd,2020-02-07,16.041666666666668,7.653170861649276,
108,Oakland-9925 International Blvd,2020-02-07,14.5,7.653170861649276,
109,Livermore-793 Rincon Avenue,2020-02-07,12.695652173913043,7.653170861649276,
110,San Jose-Jackson Street,2020-02-07,14.291666666666666,7.653170861649276,
111,San Pablo-Rumrill Blvd,2020-02-07,13.916666666666666,7.653170861649276,
112,Oakland-West,2020-02-07,10.0,7.653170861649276,
113,Oakland-Laney College                   ,2020-02-07,12.5,7.653170861649276,
114,Sebastopol-103 Morris Street            ,2020-02-07,8.791666666666666,7.653170861649276,
115,San Jose-Knox Avenue                    ,2020-02-07,15.125,7.653170861649276,
116,Berkeley-Aquatic Park                   ,2020-02-07,13.375,7.653170861649276,
117,Napa-Valley College,2020-02-07,13.416666666666666,7.653170861649276,
118,Pleasanton-Owens Ct                     ,2020-02-07,14.608695652173912,7.653170861649276,
119,Redwood City,2020-02-08,9.791666666666666,7.653170861649276,
120,Gilroy-9th Street,2020-02-08,14.541666666666666,7.653170861649276,
121,San Francisco-Arkansas Street,2020-02-08,8.958333333333334,7.653170861649276,
122,Vallejo-304 Tuolumne Street,2020-02-08,8.958333333333334,7.653170861649276,
123,San Rafael,2020-02-08,7.625,7.653170861649276,
124,Concord-2956-A Treat Blvd,2020-02-08,9.833333333333334,7.653170861649276,
125,Oakland-9925 International Blvd,2020-02-08,9.458333333333334,7.653170861649276,
126,Livermore-793 Rincon Avenue,2020-02-08,10.083333333333334,7.653170861649276,
127,San Jose-Jackson Street,2020-02-08,10.625,7.653170861649276,
128,San Pablo-Rumrill Blvd,2020-02-08,9.130434782608695,7.653170861649276,
129,Oakland-West,2020-02-08,4.958333333333333,7.653170861649276,
130,Oakland-Laney College                   ,2020-02-08,7.291666666666667,7.653170861649276,
131,Sebastopol-103 Morris Street            ,2020-02-08,4.083333333333333,7.653170861649276,
132,San Jose-Knox Avenue                    ,2020-02-08,13.583333333333334,7.653170861649276,
133,Berkeley-Aquatic Park                   ,2020-02-08,10.173913043478262,7.653170861649276,
134,Napa-Valley College,2020-02-08,8.5,7.653170861649276,
135,Pleasanton-Owens Ct                     ,2020-02-08,11.541666666666666,7.653170861649276,
136,Redwood City,2020-02-09,3.0,7.653170861649276,
137,Gilroy-9th Street,2020-02-09,4.625,7.653170861649276,
138,San Francisco-Arkansas Street,2020-02-09,3.875,7.653170861649276,
139,Vallejo-304 Tuolumne Street,2020-02-09,9.208333333333334,7.653170861649276,
140,San Rafael,2020-02-09,1.7083333333333333,7.653170861649276,
141,Concord-2956-A Treat Blvd,2020-02-09,3.25,7.653170861649276,
142,Oakland-9925 International Blvd,2020-02-09,2.7083333333333335,7.653170861649276,
143,Livermore-793 Rincon Avenue,2020-02-09,1.125,7.653170861649276,
144,San Jose-Jackson Street,2020-02-09,4.25,7.653170861649276,
145,San Pablo-Rumrill Blvd,2020-02-09,1.7916666666666667,7.653170861649276,
146,Oakland-West,2020-02-09,2.0,7.653170861649276,
147,Oakland-Laney College                   ,2020-02-09,0.041666666666666664,7.653170861649276,
148,Sebastopol-103 Morris Street            ,2020-02-09,1.5,7.653170861649276,
149,San Jose-Knox Avenue                    ,2020-02-09,4.761904761904762,7.653170861649276,
150,Berkeley-Aquatic Park                   ,2020-02-09,2.0434782608695654,7.653170861649276,
151,Napa-Valley College,2020-02-09,3.25,7.653170861649276,
152,Pleasanton-Owens Ct                     ,2020-02-09,4.333333333333333,7.653170861649276,
153,Redwood City,2020-02-10,4.818181818181818,7.653170861649276,
154,Gilroy-9th Street,2020-02-10,5.625,7.653170861649276,
155,San Francisco-Arkansas Street,2020-02-10,6.125,7.653170861649276,
156,Vallejo-304 Tuolumne Street,2020-02-10,6.045454545454546,7.653170861649276,
157,San Rafael,2020-02-10,2.125,7.653170861649276,
158,Concord-2956-A Treat Blvd,2020-02-10,5.416666666666667,7.653170861649276,
159,Oakland-9925 International Blvd,2020-02-10,5.125,7.653170861649276,
160,Livermore-793 Rincon Avenue,2020-02-10,1.7391304347826086,7.653170861649276,
161,San Jose-Jackson Street,2020-02-10,4.391304347826087,7.653170861649276,
162,San Pablo-Rumrill Blvd,2020-02-10,5.458333333333333,7.653170861649276,
163,Oakland-West,2020-02-10,3.0416666666666665,7.653170861649276,
164,Oakland-Laney College                   ,2020-02-10,3.25,7.653170861649276,
165,Sebastopol-103 Morris Street            ,2020-02-10,1.8695652173913044,7.653170861649276,
166,San Jose-Knox Avenue                    ,2020-02-10,4.3478260869565215,7.653170861649276,
167,Berkeley-Aquatic Park                   ,2020-02-10,6.695652173913044,7.653170861649276,
168,Napa-Valley College,2020-02-10,2.6956521739130435,7.653170861649276,
169,Pleasanton-Owens Ct                     ,2020-02-10,2.8333333333333335,7.653170861649276,
170,Redwood City,2020-02-11,5.217391304347826,7.653170861649276,
171,Gilroy-9th Street,2020-02-11,5.826086956521739,7.653170861649276,
172,San Francisco-Arkansas Street,2020-02-11,7.434782608695652,7.653170861649276,
173,Vallejo-304 Tuolumne Street,2020-02-11,9.916666666666666,7.653170861649276,
174,San Rafael,2020-02-11,3.0,7.653170861649276,
175,Concord-2956-A Treat Blvd,2020-02-11,4.0,7.653170861649276,
176,Oakland-9925 International Blvd,2020-02-11,4.375,7.653170861649276,
177,Livermore-793 Rincon Avenue,2020-02-11,2.5,7.653170861649276,
178,San Jose-Jackson Street,2020-02-11,5.583333333333333,7.653170861649276,
179,San Pablo-Rumrill Blvd,2020-02-11,6.043478260869565,7.653170861649276,
180,Oakland-West,2020-02-11,6.739130434782608,7.653170861649276,
181,Oakland-Laney College                   ,2020-02-11,5.958333333333333,7.653170861649276,
182,Sebastopol-103 Morris Street            ,2020-02-11,3.8333333333333335,7.653170861649276,
183,San Jose-Knox Avenue                    ,2020-02-11,4.666666666666667,7.653170861649276,
184,Berkeley-Aquatic Park                   ,2020-02-11,8.166666666666666,7.653170861649276,
185,Napa-Valley College,2020-02-11,2.4583333333333335,7.653170861649276,
186,Pleasanton-Owens Ct                     ,2020-02-11,4.565217391304348,7.653170861649276,
187,Redwood City,2020-02-12,8.826086956521738,7.653170861649276,
188,Gilroy-9th Street,2020-02-12,7.25,7.653170861649276,
189,San Francisco-Arkansas Street,2020-02-12,13.583333333333334,7.653170861649276,
