,name,date,BC,Pre-Shelter in place mean,Post-Shelter in place mean
0,Livermore-793 Rincon Avenue,2020-02-15,0.7656166666666667,0.6571340706705748,
1,Oakland-West,2020-02-15,0.6436000000000002,0.6571340706705748,
2,Oakland-Laney College                   ,2020-02-15,1.14525,0.6571340706705748,
3,San Jose-Knox Avenue                    ,2020-02-15,0.907854166666667,0.6571340706705748,
4,Berkeley-Aquatic Park                   ,2020-02-15,0.7427208333333333,0.6571340706705748,
6,Oakland-West,2020-02-16,0.26423749999999996,0.6571340706705748,
7,Oakland-Laney College                   ,2020-02-16,0.6697791666666667,0.6571340706705748,
8,San Jose-Knox Avenue                    ,2020-02-16,0.5700375000000001,0.6571340706705748,
9,Berkeley-Aquatic Park                   ,2020-02-16,0.4561916666666666,0.6571340706705748,
11,Oakland-West,2020-02-17,0.7433333333333335,0.6571340706705748,
12,Oakland-Laney College                   ,2020-02-17,1.0715695652173916,0.6571340706705748,
13,San Jose-Knox Avenue                    ,2020-02-17,0.5001791666666667,0.6571340706705748,
14,Berkeley-Aquatic Park                   ,2020-02-17,0.7847291666666666,0.6571340706705748,
15,Livermore-793 Rincon Avenue,2020-02-18,0.40298,0.6571340706705748,
16,Oakland-West,2020-02-18,1.0086916666666665,0.6571340706705748,
17,Oakland-Laney College                   ,2020-02-18,1.490475,0.6571340706705748,
18,San Jose-Knox Avenue                    ,2020-02-18,0.8685,0.6571340706705748,
19,Berkeley-Aquatic Park                   ,2020-02-18,1.0161416666666665,0.6571340706705748,
20,Livermore-793 Rincon Avenue,2020-02-19,0.8611125,0.6571340706705748,
21,Oakland-West,2020-02-19,0.7671416666666665,0.6571340706705748,
22,Oakland-Laney College                   ,2020-02-19,1.0910166666666665,0.6571340706705748,
23,San Jose-Knox Avenue                    ,2020-02-19,1.0259624999999999,0.6571340706705748,
24,Berkeley-Aquatic Park                   ,2020-02-19,0.8562708333333336,0.6571340706705748,
25,Livermore-793 Rincon Avenue,2020-02-20,0.9361166666666668,0.6571340706705748,
26,Oakland-West,2020-02-20,0.9091083333333333,0.6571340706705748,
27,Oakland-Laney College                   ,2020-02-20,1.3689708333333332,0.6571340706705748,
28,San Jose-Knox Avenue                    ,2020-02-20,1.2261291666666667,0.6571340706705748,
29,Berkeley-Aquatic Park                   ,2020-02-20,1.0722208333333336,0.6571340706705748,
30,Livermore-793 Rincon Avenue,2020-02-21,0.9020833333333335,0.6571340706705748,
31,Oakland-West,2020-02-21,1.1387333333333336,0.6571340706705748,
32,Oakland-Laney College                   ,2020-02-21,1.822063636363636,0.6571340706705748,
33,San Jose-Knox Avenue                    ,2020-02-21,1.3813666666666666,0.6571340706705748,
34,Berkeley-Aquatic Park                   ,2020-02-21,1.0675173913043479,0.6571340706705748,
35,Livermore-793 Rincon Avenue,2020-02-22,0.5482291666666667,0.6571340706705748,
36,Oakland-West,2020-02-22,0.3692958333333333,0.6571340706705748,
37,Oakland-Laney College                   ,2020-02-22,0.6853041666666667,0.6571340706705748,
38,San Jose-Knox Avenue                    ,2020-02-22,0.7628625000000002,0.6571340706705748,
39,Berkeley-Aquatic Park                   ,2020-02-22,0.5636125000000001,0.6571340706705748,
40,Livermore-793 Rincon Avenue,2020-02-23,0.18661666666666668,0.6571340706705748,
41,Oakland-West,2020-02-23,0.17548333333333332,0.6571340706705748,
42,Oakland-Laney College                   ,2020-02-23,0.8478499999999998,0.6571340706705748,
43,San Jose-Knox Avenue                    ,2020-02-23,0.2955166666666666,0.6571340706705748,
44,Berkeley-Aquatic Park                   ,2020-02-23,0.33054583333333337,0.6571340706705748,
45,Livermore-793 Rincon Avenue,2020-02-24,0.5606083333333335,0.6571340706705748,
46,Oakland-West,2020-02-24,0.44703750000000003,0.6571340706705748,
47,Oakland-Laney College                   ,2020-02-24,0.9009782608695653,0.6571340706705748,
48,San Jose-Knox Avenue                    ,2020-02-24,0.6843291666666667,0.6571340706705748,
49,Berkeley-Aquatic Park                   ,2020-02-24,0.6430541666666666,0.6571340706705748,
50,Livermore-793 Rincon Avenue,2020-02-25,0.46405909090909075,0.6571340706705748,
51,Oakland-West,2020-02-25,1.1233958333333331,0.6571340706705748,
52,Oakland-Laney College                   ,2020-02-25,1.4228291666666664,0.6571340706705748,
53,San Jose-Knox Avenue                    ,2020-02-25,0.8979624999999999,0.6571340706705748,
